date	open	high	low	close	volume	order_event
1460727000000	55.3	55.3	55.25	55.25	3399547	"buy"
1460727060000	55.24	55.39	55.11	55.37	253961	"empty"
1460727120000	55.37	55.5299	55.37	55.5299	127451	"buy"
1460727180000	55.52	55.59	55.52	55.58	101263	"buy"
1460727240000	55.58	55.59	55.5	55.51	123661	"empty"
1460727300000	55.505	55.52	55.495	55.5065	149931	"empty"
1460727360000	55.51	55.63	55.5	55.61	126985	"empty"
1460727420000	55.605	55.64	55.52	55.55	86640	"empty"
1460727480000	55.56	55.62	55.55	55.61	96088	"empty"
1460727540000	55.61	55.62	55.56	55.585	62305	"sell"
